ObjectID,ParentObjectID,HeaderObjectID,External_Key,LeadExternalKey,ID,Text,Language_Code,Language_Code_Text,Type_Code,Type_Code_Text,Author_UUID,Author_Name,Created_On,Updated_On
SYNTH-NOTE-0000001,SYNTH-LEAD-000001,SYNTH-LEAD-000001,,,1,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2021-08-25T19:11:48.000000Z,2021-09-01T19:11:48.000000Z
SYNTH-NOTE-0000002,SYNTH-LEAD-000001,SYNTH-LEAD-000001,,,2,Synthetic customer requested technical product information.,,,10001,Additional External Comment,,,2021-09-10T09:12:51.000000Z,2021-09-24T09:12:51.000000Z
SYNTH-NOTE-0000003,SYNTH-LEAD-000002,SYNTH-LEAD-000002,,,3,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2020-06-29T20:50:40.000000Z,2020-07-24T20:50:40.000000Z
SYNTH-NOTE-0000004,SYNTH-LEAD-000003,SYNTH-LEAD-000003,,,4,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2021-02-18T11:42:05.000000Z,2021-02-23T11:42:05.000000Z
SYNTH-NOTE-0000005,SYNTH-LEAD-000004,SYNTH-LEAD-000004,,,5,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2021-07-12T10:28:48.000000Z,2021-08-05T10:28:48.000000Z
SYNTH-NOTE-0000006,SYNTH-LEAD-000005,SYNTH-LEAD-000005,,,6,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2022-07-28T05:44:46.000000Z,2022-08-15T05:44:46.000000Z
SYNTH-NOTE-0000007,SYNTH-LEAD-000006,SYNTH-LEAD-000006,,,7,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2020-08-30T16:55:47.000000Z,2020-09-21T16:55:47.000000Z
SYNTH-NOTE-0000008,SYNTH-LEAD-000006,SYNTH-LEAD-000006,,,8,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2020-08-31T08:00:25.000000Z,2020-08-31T08:00:25.000000Z
SYNTH-NOTE-0000009,SYNTH-LEAD-000006,SYNTH-LEAD-000006,,,9,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2020-09-17T05:01:02.000000Z,2020-10-09T05:01:02.000000Z
SYNTH-NOTE-0000010,SYNTH-LEAD-000006,SYNTH-LEAD-000006,,,10,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2020-09-19T11:12:05.000000Z,2020-09-23T11:12:05.000000Z
SYNTH-NOTE-0000011,SYNTH-LEAD-000007,SYNTH-LEAD-000007,,,11,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2019-06-17T19:14:20.000000Z,2019-07-16T19:14:20.000000Z
SYNTH-NOTE-0000012,SYNTH-LEAD-000007,SYNTH-LEAD-000007,,,12,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2019-06-18T03:23:53.000000Z,2019-07-13T03:23:53.000000Z
SYNTH-NOTE-0000013,SYNTH-LEAD-000007,SYNTH-LEAD-000007,,,13,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2019-07-08T07:53:10.000000Z,2019-07-10T07:53:10.000000Z
SYNTH-NOTE-0000014,SYNTH-LEAD-000008,SYNTH-LEAD-000008,,,14,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2023-11-07T11:30:47.000000Z,2023-11-21T11:30:47.000000Z
SYNTH-NOTE-0000015,SYNTH-LEAD-000009,SYNTH-LEAD-000009,,,15,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2022-11-27T05:35:18.000000Z,2022-12-02T05:35:18.000000Z
SYNTH-NOTE-0000016,SYNTH-LEAD-000009,SYNTH-LEAD-000009,,,16,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2023-01-16T23:53:40.000000Z,2023-02-02T23:53:40.000000Z
SYNTH-NOTE-0000017,SYNTH-LEAD-000011,SYNTH-LEAD-000011,,,17,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2020-04-19T06:27:10.000000Z,2020-04-26T06:27:10.000000Z
SYNTH-NOTE-0000018,SYNTH-LEAD-000012,SYNTH-LEAD-000012,,,18,Synthetic customer requested technical product information.,,,10001,Additional External Comment,,,2021-10-21T18:18:34.000000Z,2021-11-08T18:18:34.000000Z
SYNTH-NOTE-0000019,SYNTH-LEAD-000012,SYNTH-LEAD-000012,,,19,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2021-10-24T17:50:52.000000Z,2021-11-09T17:50:52.000000Z
SYNTH-NOTE-0000020,SYNTH-LEAD-000013,SYNTH-LEAD-000013,,,20,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2023-11-01T18:26:49.000000Z,2023-11-21T18:26:49.000000Z
SYNTH-NOTE-0000021,SYNTH-LEAD-000013,SYNTH-LEAD-000013,,,21,Synthetic sales follow-up recorded an application question.,,,10001,Additional External Comment,,,2023-11-18T10:20:26.000000Z,2023-12-15T10:20:26.000000Z
SYNTH-NOTE-0000022,SYNTH-LEAD-000014,SYNTH-LEAD-000014,,,22,Synthetic inquiry requested pricing and product suitability details.,,,10001,Additional External Comment,,,2021-09-26T11:58:17.000000Z,2021-10-21T11:58:17.000000Z
SYNTH-NOTE-0000023,SYNTH-LEAD-000014,SYNTH-LEAD-000014,,,23,Synthetic customer asked for an engineering follow-up.,,,10001,Additional External Comment,,,2021-09-26T00:31:35.000000Z,2021-10-07T00:31:35.000000Z
SYNTH-NOTE-0000024,SYNTH-LEAD-000016,SYNTH-LEAD-000016,,,24,Synthetic customer requested technical product information.,,,10001,Additional External Comment,,,2020-08-27T08:07:57.000000Z,2020-09-05T08:07:57.000000Z
