Sales_Rank,Lead_ID,Lead_Score,Lead_Category,Predicted_Probability,Predicted_Converted,Actual_Converted,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
1,1290,100,Hot,0.9981026,1,1,API,Organic Search,No,No,3.0,1557,3.0,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent
2,7105,100,Hot,0.9959638,1,1,API,Olark Chat,No,No,10.0,1290,2.0,SMS Sent,India,Travel and Tourism,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,13.0,No,Yes,SMS Sent
3,5801,100,Hot,0.9955238,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
4,7636,100,Hot,0.99586797,1,1,Landing Page Submission,Google,No,No,9.0,1638,9.0,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
5,1299,100,Hot,0.99566156,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
6,5525,100,Hot,0.99541,1,1,API,Organic Search,No,No,19.0,1377,6.33,Email Opened,India,Hospitality Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Thane & Outskirts,01.High,02.Medium,16.0,14.0,No,No,Email Opened
7,6663,100,Hot,0.9966235,1,1,Lead Add Form,Reference,No,No,0.0,0,0.0,Email Opened,,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,,,,,No,No,Email Opened
8,4935,100,Hot,0.996557,1,1,API,Google,No,No,6.0,1094,2.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,,,,No,No,SMS Sent
9,7136,100,Hot,0.99571264,1,1,Landing Page Submission,Direct Traffic,No,No,4.0,1115,1.33,Page Visited on Website,India,Finance Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Thane & Outskirts,,,,,No,Yes,Page Visited on Website
10,4428,100,Hot,0.9956185,1,1,Landing Page Submission,Direct Traffic,No,No,8.0,1499,8.0,SMS Sent,India,Rural and Agribusiness,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Thane & Outskirts,,,,,No,No,SMS Sent
